Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,0,World,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",0,,,,,,,,43706730,,,0
HS,2016,201604,April 2016,2,0,2,Exports,124,Canada,,320,Guatemala,,,,,,,,,01,Animals; live,0,,,,,,,,80367,,,0
HS,2016,201604,April 2016,2,0,2,Exports,124,Canada,,276,Germany,,,,,,,,,01,Animals; live,0,,,,,,,,352134,,,0
HS,2016,201604,April 2016,2,0,2,Exports,124,Canada,,376,Israel,,,,,,,,,01,Animals; live,0,,,,,,,,61508,,,0
HS,2016,201604,April 2016,2,0,2,Exports,124,Canada,,381,Italy,,,,,,,,,01,Animals; live,0,,,,,,,,8938,,,0
HS,2016,201604,April 2016,2,0,2,Exports,124,Canada,,392,Japan,,,,,,,,,01,Animals; live,0,,,,,,,,1201835,,,0
HS,2016,201604,April 2016,2,0,2,Exports,124,Canada,,410,Rep. of Korea,,,,,,,,,01,Animals; live,0,,,,,,,,398108,,,0
HS,2016,201604,April 2016,2,0,2,Exports,124,Canada,,528,Netherlands,,,,,,,,,01,Animals; live,0,,,,,,,,7271,,,0
HS,2016,201604,April 2016,2,0,2,Exports,124,Canada,,608,Philippines,,,,,,,,,01,Animals; live,0,,,,,,,,243253,,,0
HS,2016,201604,April 2016,2,0,2,Exports,124,Canada,,643,Russian Federation,,,,,,,,,01,Animals; live,0,,,,,,,,608619,,,0
HS,2016,201604,April 2016,2,0,2,Exports,124,Canada,,604,Peru,,,,,,,,,01,Animals; live,0,,,,,,,,5,,,0
